NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.0,1000.0,4904.869536631868,ZOAC (Linear),100
0.01,1000.0,4908.85680988653,ZOAC (Linear),100
0.02,1000.0,4696.155439610777,ZOAC (Linear),100
0.03,1000.0,4756.074345273482,ZOAC (Linear),100
0.04,1000.0,4887.993852795041,ZOAC (Linear),100
0.05,1000.0,4901.085849122568,ZOAC (Linear),100
0.06,1000.0,4747.410921552178,ZOAC (Linear),100
0.07,1000.0,4784.044127753908,ZOAC (Linear),100
0.08,1000.0,4611.574511061971,ZOAC (Linear),100
0.09,1000.0,4700.304231471885,ZOAC (Linear),100
0.1,1000.0,4495.019183389418,ZOAC (Linear),100
0.11,1000.0,4612.606319947482,ZOAC (Linear),100
0.12,1000.0,4226.178327434972,ZOAC (Linear),100
0.13,1000.0,4307.611001448273,ZOAC (Linear),100
0.14,1000.0,4129.712982940229,ZOAC (Linear),100
0.15,1000.0,3966.9640109579573,ZOAC (Linear),100
0.16,1000.0,3628.951401025431,ZOAC (Linear),100
0.17,1000.0,3733.424561030078,ZOAC (Linear),100
0.18,1000.0,3149.9004511976977,ZOAC (Linear),100
0.19,1000.0,2499.8463569041305,ZOAC (Linear),100
0.2,1000.0,3086.0729493868453,ZOAC (Linear),100
0.21,1000.0,2440.3675016172015,ZOAC (Linear),100
0.22,1000.0,2020.5880042547797,ZOAC (Linear),100
0.23,1000.0,1901.1826484886835,ZOAC (Linear),100
0.24,1000.0,1563.9096546006704,ZOAC (Linear),100
0.25,1000.0,2170.036074283463,ZOAC (Linear),100
0.26,1000.0,1623.8949877663792,ZOAC (Linear),100
0.27,1000.0,1911.4088976109779,ZOAC (Linear),100
0.28,1000.0,1385.8718769238224,ZOAC (Linear),100
0.29,1000.0,1640.5298670477982,ZOAC (Linear),100
0.3,1000.0,1335.7203835239075,ZOAC (Linear),100
0.0,1000.0,4920.659895822025,ZOAC (Linear),200
0.01,1000.0,4929.67197753274,ZOAC (Linear),200
0.02,1000.0,4920.778450569393,ZOAC (Linear),200
0.03,1000.0,4895.46548035383,ZOAC (Linear),200
0.04,1000.0,4856.6975734766,ZOAC (Linear),200
0.05,1000.0,4643.618553439798,ZOAC (Linear),200
0.06,1000.0,4596.326623139337,ZOAC (Linear),200
0.07,1000.0,4636.711674232117,ZOAC (Linear),200
0.08,1000.0,4502.369658940224,ZOAC (Linear),200
0.09,1000.0,4481.099280234853,ZOAC (Linear),200
0.1,1000.0,4418.814351010737,ZOAC (Linear),200
0.11,1000.0,4416.238261364321,ZOAC (Linear),200
0.12,1000.0,4273.209789180394,ZOAC (Linear),200
0.13,1000.0,4285.506394270101,ZOAC (Linear),200
0.14,1000.0,4236.335313869111,ZOAC (Linear),200
0.15,1000.0,3929.1742612828375,ZOAC (Linear),200
0.16,1000.0,3982.6576242415445,ZOAC (Linear),200
0.17,1000.0,3925.131648037512,ZOAC (Linear),200
0.18,1000.0,3771.9036817887036,ZOAC (Linear),200
0.19,1000.0,3818.859708998601,ZOAC (Linear),200
0.2,1000.0,3783.5081347348096,ZOAC (Linear),200
0.21,1000.0,3613.608744451729,ZOAC (Linear),200
0.22,1000.0,3570.238118447882,ZOAC (Linear),200
0.23,1000.0,3260.0831594025854,ZOAC (Linear),200
