NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.0,1000.0,4782.221621376827,ZOAC (Linear),100
0.005,1000.0,4948.095961287111,ZOAC (Linear),100
0.01,1000.0,4688.287170931165,ZOAC (Linear),100
0.015,1000.0,4469.370454990762,ZOAC (Linear),100
0.02,1000.0,4548.201661270298,ZOAC (Linear),100
0.025,1000.0,4653.726046210399,ZOAC (Linear),100
0.03,1000.0,4150.177433367771,ZOAC (Linear),100
0.035,1000.0,3741.5168786710506,ZOAC (Linear),100
0.04,1000.0,3970.613330003818,ZOAC (Linear),100
0.045,1000.0,3582.0857599417063,ZOAC (Linear),100
0.05,1000.0,3097.5683806737916,ZOAC (Linear),100
0.055,1000.0,2232.8449132048545,ZOAC (Linear),100
0.06,1000.0,3169.839789329205,ZOAC (Linear),100
0.065,1000.0,2208.9351941718924,ZOAC (Linear),100
0.07,1000.0,1952.2205295644565,ZOAC (Linear),100
0.075,1000.0,1800.076810457902,ZOAC (Linear),100
0.08,1000.0,1390.430688976523,ZOAC (Linear),100
0.085,1000.0,915.9083070224775,ZOAC (Linear),100
0.09,1000.0,993.8614075707076,ZOAC (Linear),100
0.095,1000.0,821.9023038202691,ZOAC (Linear),100
0.1,1000.0,1079.8359862691418,ZOAC (Linear),100
0.0,1000.0,4910.476073191841,ZOAC (Linear),200
0.005,1000.0,4936.706209873328,ZOAC (Linear),200
0.01,1000.0,4857.740677600534,ZOAC (Linear),200
0.015,1000.0,4864.398506683355,ZOAC (Linear),200
0.02,1000.0,4729.072754789842,ZOAC (Linear),200
0.025,1000.0,4651.264411672437,ZOAC (Linear),200
0.03,1000.0,4345.197191562328,ZOAC (Linear),200
0.035,1000.0,4316.64028793355,ZOAC (Linear),200
0.04,1000.0,4181.572825192554,ZOAC (Linear),200
0.045,1000.0,3845.644114196864,ZOAC (Linear),200
0.05,1000.0,3588.8181370176217,ZOAC (Linear),200
0.055,1000.0,3121.9655037737725,ZOAC (Linear),200
0.06,1000.0,3500.4517919613527,ZOAC (Linear),200
0.065,1000.0,3166.6598600000334,ZOAC (Linear),200
0.07,1000.0,2618.6870751640013,ZOAC (Linear),200
0.075,1000.0,1928.8397653495012,ZOAC (Linear),200
0.08,1000.0,2255.9503767886517,ZOAC (Linear),200
0.085,1000.0,1882.5566189860351,ZOAC (Linear),200
0.09,1000.0,1413.0857586178984,ZOAC (Linear),200
