NoiseStd,AvgStep,AvgReturn,Condition,Seed
0.0,870.4600000000002,3228.7744596018383,ZOAC (Linear),100
0.01,869.0399999999997,3213.9215990366756,ZOAC (Linear),100
0.02,821.86,3051.3372505233247,ZOAC (Linear),100
0.03,763.96,2831.4277550036913,ZOAC (Linear),100
0.04,681.8999999999997,2505.3151519348526,ZOAC (Linear),100
0.05,700.62,2563.066849289621,ZOAC (Linear),100
0.06,659.6799999999998,2414.4661123063397,ZOAC (Linear),100
0.07,626.8799999999999,2283.2825268389333,ZOAC (Linear),100
0.08,653.44,2355.3827854706883,ZOAC (Linear),100
0.09,669.8199999999999,2437.2678291736825,ZOAC (Linear),100
0.1,662.0000000000001,2430.9314353232867,ZOAC (Linear),100
0.11,662.42,2417.29701397431,ZOAC (Linear),100
0.12,644.08,2350.214051681318,ZOAC (Linear),100
0.13,608.28,2187.774105328281,ZOAC (Linear),100
0.14,688.46,2514.4016039006833,ZOAC (Linear),100
0.15,629.8399999999999,2269.918459807018,ZOAC (Linear),100
0.16,631.86,2286.7519138868633,ZOAC (Linear),100
0.17,639.7600000000003,2316.845947399799,ZOAC (Linear),100
0.18,644.7600000000002,2321.431287350958,ZOAC (Linear),100
0.19,605.06,2200.9688302914337,ZOAC (Linear),100
0.2,658.1000000000001,2388.741751936742,ZOAC (Linear),100
0.21,709.8399999999999,2556.711314597472,ZOAC (Linear),100
0.22,636.98,2306.013726057977,ZOAC (Linear),100
0.23,606.0200000000001,2157.083094532804,ZOAC (Linear),100
0.24,625.62,2249.312519653965,ZOAC (Linear),100
0.25,588.2999999999998,2114.9704188739524,ZOAC (Linear),100
0.26,581.8600000000001,2080.707040540882,ZOAC (Linear),100
0.27,635.4799999999999,2294.968635202364,ZOAC (Linear),100
0.28,626.6999999999998,2243.7136888938703,ZOAC (Linear),100
0.29,612.36,2209.3071804886276,ZOAC (Linear),100
0.3,574.46,2062.2701142738338,ZOAC (Linear),100
0.0,543.06,1830.5442480423744,ZOAC (Linear),200
0.01,531.96,1791.066956422443,ZOAC (Linear),200
0.02,571.9799999999999,1935.9358875802016,ZOAC (Linear),200
0.03,564.6599999999999,1914.5150169265733,ZOAC (Linear),200
0.04,514.9600000000002,1746.9656142619524,ZOAC (Linear),200
0.05,530.0799999999999,1795.980086081459,ZOAC (Linear),200
0.06,538.68,1822.3064863150773,ZOAC (Linear),200
0.07,535.3000000000001,1810.7568099055914,ZOAC (Linear),200
0.08,504.65999999999985,1705.58513877888,ZOAC (Linear),200
0.09,527.58,1784.4768861327873,ZOAC (Linear),200
0.1,546.64,1851.9362276252252,ZOAC (Linear),200
0.11,551.9000000000001,1863.1584946797532,ZOAC (Linear),200
0.12,527.58,1779.74029361743,ZOAC (Linear),200
0.13,554.2799999999999,1867.240267321784,ZOAC (Linear),200
0.14,576.6599999999997,1936.4618889783178,ZOAC (Linear),200
0.15,545.8799999999999,1843.1944439818428,ZOAC (Linear),200
0.16,529.8399999999999,1785.1007753482504,ZOAC (Linear),200
0.17,543.0,1831.1905576313704,ZOAC (Linear),200
0.18,519.8799999999999,1756.4707625750784,ZOAC (Linear),200
0.19,537.2199999999999,1804.4606242675613,ZOAC (Linear),200
0.2,563.26,1881.6853148583584,ZOAC (Linear),200
0.21,601.6400000000002,2017.9060891201405,ZOAC (Linear),200
0.22,600.76,2010.5944388128228,ZOAC (Linear),200
0.23,499.6,1677.6981213732065,ZOAC (Linear),200
0.24,562.4599999999998,1879.609238613917,ZOAC (Linear),200
0.25,576.02,1923.3673225424752,ZOAC (Linear),200
0.26,550.3000000000001,1832.796018447663,ZOAC (Linear),200
0.27,522.9399999999998,1752.375885297812,ZOAC (Linear),200
0.28,623.84,2064.4673684218023,ZOAC (Linear),200
0.29,548.82,1821.012760402355,ZOAC (Linear),200
0.3,552.4399999999999,1829.0280309298614,ZOAC (Linear),200
